AX,AY,AZ,GX,GY,GZ,water,activity
-844,1908,-13320,416,857,-540,296,drowning
276,1600,-18712,-1006,-9890,90,219,drowning
-2764,2076,-16748,-2006,-12807,-675,216,drowning
-4928,1684,-15316,-821,-11069,-505,216,drowning
-6792,2896,-15376,-961,-11580,-395,217,drowning
-7532,1880,-14736,-372,-7408,-638,218,drowning
-8352,1828,-13900,1217,-6039,1064,219,drowning
-8276,2832,-14084,2401,-4260,571,219,drowning
-8752,2408,-13012,2392,-3024,463,219,drowning
-9384,1656,-15108,2380,-1821,-96,220,drowning
-10108,1820,-14444,1435,-2198,517,220,drowning
-9008,1332,-14700,1400,-1648,-165,221,drowning
-9432,1316,-14172,1815,-2088,-704,220,drowning
-9508,716,-13344,1406,-2837,-1284,221,drowning
-10040,664,-13000,726,-2751,-1049,220,drowning
-10304,524,-12752,503,732,-1822,220,drowning
-10108,56,-13240,-287,-257,-1745,220,drowning
-10164,-576,-13036,-433,2311,-549,220,drowning
-10276,292,-14116,-513,2469,438,220,drowning
-9436,648,-13256,-32,860,1338,220,drowning
-9504,1016,-14148,-123,2356,1174,220,drowning
-9288,1180,-13948,-337,2085,1200,220,drowning
-9400,1876,-14708,-1147,2771,776,220,drowning
-9472,1472,-15468,-1775,-615,-401,221,drowning
-9256,1544,-14180,-2501,-1879,-261,221,drowning
-10220,2548,-15216,-669,-2859,-349,221,drowning
-10600,484,-14284,1274,-5330,-804,219,drowning
-11384,968,-13132,2136,-4685,-839,218,drowning
-11248,344,-10628,-875,-2640,-667,218,drowning
-11196,716,-10112,-4190,2538,415,217,drowning
-7500,4004,-14044,-4466,-4771,-6147,218,drowning
-8976,3220,-11920,-1736,863,-581,218,drowning
-9464,3504,-12564,-714,6770,-868,217,drowning
-8372,2448,-13572,531,7063,454,216,drowning
-7488,2992,-14640,578,5756,-585,216,drowning
-6064,2464,-14812,688,5268,-300,216,drowning
-5260,2692,-15476,340,7380,-994,216,drowning
-5304,2676,-16588,263,3664,-1100,216,drowning
-6900,2820,-18828,631,-1242,-2668,216,drowning
-5476,2268,-14192,1644,-1814,-2867,216,drowning
-3712,-20,-15072,3202,-5482,-1913,215,drowning
-5916,3048,-24820,3604,588,-1449,213,drowning
-3868,1612,-22784,2541,-8477,-354,211,drowning
-4308,1400,-25460,1552,-71,1852,209,drowning
-8540,4804,-23948,587,20816,4538,208,drowning
-4516,556,-15040,1729,32767,3683,208,drowning
-5220,-2364,-12132,4015,22536,-2425,208,drowning
868,1304,-20064,-5375,-595,-2271,209,drowning
-2364,336,-16112,-3223,-17526,-6822,208,drowning
-6048,-548,-16992,-3869,-20561,-3753,209,drowning
-6408,3044,-11668,-2929,-13377,-2974,208,drowning
-7496,676,-18160,-1577,-7066,-1439,209,drowning
-7308,568,-12584,595,-14094,-2576,208,drowning
-9208,1448,-9384,-1446,-12071,-3125,209,drowning
-9952,20,-12700,709,-3662,-4029,209,drowning
-10352,316,-12372,-708,-6323,-1304,209,drowning
-11472,672,-10968,-320,-8197,-1233,209,drowning
-12520,568,-9444,-1337,-8319,-995,208,drowning
-12864,1160,-7508,-510,-7914,-713,209,drowning
-14240,1196,-7576,891,-4590,358,209,drowning
-14540,1264,-7504,133,-3519,-485,209,drowning
-14484,1048,-7212,-286,-4747,-722,209,drowning
-13624,2148,-6508,-57,-2427,-3726,210,drowning
-13572,-348,-7796,375,-4696,-1851,214,drowning
-12992,1140,-5780,-1078,1657,-1157,220,drowning
-13172,-1416,-5888,1187,4651,1611,237,drowning
