AX,AY,AZ,GX,GY,GZ,water,activity
-8308,912,-11920,-174,2139,-1247,202,drowning
-9196,152,-15524,-208,574,-623,203,drowning
-9560,672,-13488,56,-4705,-193,205,drowning
-10072,900,-11596,-730,-4865,-704,206,drowning
-10936,680,-11976,2,-2661,-1192,206,drowning
-11640,328,-13236,706,-2477,-1522,207,drowning
-11136,-272,-10900,1439,590,-390,206,drowning
-10692,76,-11272,106,2793,-295,206,drowning
-10164,176,-13548,-751,3758,-359,205,drowning
-9924,116,-13676,-1138,1730,-456,207,drowning
-9932,472,-13592,-1128,124,-233,206,drowning
-10148,460,-13060,-462,-670,-291,207,drowning
-10652,428,-13032,639,-679,-388,208,drowning
-10848,212,-13304,296,-1097,-260,208,drowning
-10756,76,-12148,-179,-1278,32,209,drowning
-10444,4,-11444,-3,196,148,209,drowning
-10524,444,-12612,26,1448,380,209,drowning
-10216,272,-12184,-731,618,294,210,drowning
-9728,300,-10992,-130,974,397,209,drowning
-8792,308,-10364,602,2454,562,208,drowning
-8552,920,-12324,-440,2686,576,207,drowning
-8204,796,-13272,14,2342,363,207,drowning
-8816,996,-14932,1205,-32,61,208,drowning
-9304,772,-13852,575,-3553,-661,210,drowning
-9828,916,-12392,-752,-2654,-551,211,drowning
-9760,916,-11528,-1845,-1318,-1066,212,drowning
-8916,1548,-13332,-493,992,-1138,213,drowning
-8340,1448,-15520,166,-1830,-2313,213,drowning
-8328,192,-12852,139,-5477,-2626,213,drowning
-8928,-388,-11228,-577,-6657,-1379,212,drowning
-9920,144,-11920,-154,-6692,631,212,drowning
-11116,1044,-11084,937,-8402,1168,212,drowning
-12164,788,-7580,533,-6519,-467,211,drowning
-12400,876,-8072,247,-7066,-1096,211,drowning
-14844,684,-10164,519,-4083,-2850,210,drowning
-15628,-952,-7536,1502,-5872,-2023,209,drowning
-13844,-1756,-4424,1276,-2468,-1108,208,drowning
-10984,-1384,-4392,1551,-19,-119,208,drowning
-9552,-1388,-3004,2408,-263,843,207,drowning
-11608,508,-9840,1426,-756,-1272,208,drowning
-13320,304,-2628,-502,-9020,-3533,208,drowning
-15932,-3372,-8492,2486,199,-3206,207,drowning
-17868,-2404,-8068,-789,-4374,480,208,drowning
-16448,-12,-6292,-46,-380,258,207,drowning
-16000,-804,-7692,1583,-1301,-1760,207,drowning
-16344,-3108,-5440,1281,-3286,-161,206,drowning
-15044,-1904,-7004,2362,919,332,207,drowning
-15656,-1636,-8008,1061,-1326,-915,207,drowning
-15952,-2628,-5312,609,-532,-633,206,drowning
-15704,-2820,-6044,460,1615,400,205,drowning
